Date,Open,High,Low,Close,Adj Close,Volume
1996-10-30,37.848667,37.878437,37.521210,37.550976,11.580180,1640521
1996-10-31,37.635983,38.057022,37.635983,38.052780,11.734927,1908031
1996-11-01,38.273941,38.614124,38.082554,38.231346,11.789996,2423211
1996-11-04,38.273941,38.609882,38.273941,38.529037,11.881804,1284644
1996-11-05,38.694889,39.251991,38.507828,39.251991,12.104752,2105206
1996-11-06,39.464661,39.855923,39.337070,39.851681,12.289684,2973859
1996-11-07,39.826149,39.889942,39.141445,39.634762,12.222789,2894508
1996-11-08,39.877132,40.060036,39.783646,39.783646,12.268703,2001809
1996-11-11,39.762352,39.974949,39.741058,39.962223,12.323774,1020742
1996-11-12,39.911144,40.880802,39.779312,40.868076,12.603127,2786903
1996-11-13,40.868076,40.868076,40.868076,40.868076,12.603127,0
1996-11-14,40.868076,40.868076,40.868076,40.868076,12.603127,0
1996-11-15,41.676037,41.714291,40.995586,41.518669,12.803762,1848517
1996-11-18,41.548447,41.569740,40.953083,41.059380,12.662122,1451161
1996-11-19,41.038162,41.331612,40.974377,41.314560,12.740813,741210
1996-11-20,41.378345,41.676037,40.872318,41.016869,12.649013,1249177
1996-11-21,40.974377,41.420856,40.974377,41.169994,12.696235,1651342
1996-11-22,41.250755,41.505943,41.038162,41.420856,12.773595,1180045
1996-11-25,41.633533,42.233143,41.612244,42.207607,13.016220,1502860
1996-11-26,42.356491,42.845551,42.356491,42.420284,13.081807,1883384
1996-11-27,42.356491,42.356491,41.795143,41.931210,12.930981,1188461
1996-11-28,42.058800,42.590370,41.892956,42.462788,13.094913,974454
1996-11-29,42.526581,43.036850,42.420284,42.866768,13.219493,1199282
1996-12-02,42.739178,43.462132,42.654171,43.249538,13.337533,1104301
1996-12-03,43.844894,44.844238,43.802399,44.780453,13.809646,2090177
1996-12-04,44.397755,44.546562,43.908695,44.312675,13.665390,1395255
1996-12-05,44.270164,44.716648,43.079445,43.611015,13.449012,2248879
1996-12-06,42.547874,42.951847,41.676037,42.611588,13.140800,3265414
1996-12-09,42.951847,43.547218,42.909351,43.504707,13.416226,1419902
1996-12-10,43.717304,44.142586,43.377117,43.589714,13.442443,1175236
1996-12-11,43.292038,43.292038,42.322472,42.590370,13.134254,1676590
1996-12-12,42.569084,42.909351,42.420284,42.420284,13.081807,976859
1996-12-13,42.105553,42.292694,41.867420,42.292694,13.042458,1356782
1996-12-16,42.313904,43.589714,41.995010,43.207035,13.324430,1808241
1996-12-17,42.951847,43.100655,42.275635,42.505287,13.108018,1686810
1996-12-18,42.611588,42.781761,42.398991,42.526581,13.114583,1020742
1996-12-19,42.611588,43.270737,42.569084,43.100655,13.291621,1162612
1996-12-20,43.504707,43.908695,43.249538,43.377117,13.376880,1404873
1996-12-23,43.292038,43.653519,43.292038,43.462132,13.403096,423806
1996-12-24,43.462132,43.462132,43.462132,43.462132,13.403096,0
1996-12-25,43.462132,43.462132,43.462132,43.462132,13.403096,0
1996-12-26,43.462132,43.462132,43.462132,43.462132,13.403096,0
1996-12-27,43.632225,44.227673,43.632225,44.227673,13.639179,441840
1996-12-30,44.482761,45.248310,44.482761,45.141930,13.921121,977460
1996-12-31,45.141930,45.141930,45.141930,45.141930,13.921121,0
1997-01-01,45.141930,45.141930,45.141930,45.141930,13.921121,0
1997-01-02,44.567856,44.567856,44.057487,44.142586,13.612938,1195675
1997-01-03,44.418976,45.078125,44.397755,44.993130,13.875234,1320112
1997-01-06,45.078125,46.481541,45.078125,46.481541,14.334238,2076351
1997-01-07,46.481541,46.736721,45.716084,45.949963,14.170307,2154500
1997-01-08,46.205143,47.183193,45.843666,47.119408,14.530947,2371513
1997-01-09,46.843018,47.459675,46.566628,47.459675,14.635877,3569593
1997-01-10,47.587265,47.672272,46.821728,47.246998,14.570295,2677495
1997-01-13,47.629768,49.054386,47.629768,49.054386,15.127664,1695827
1997-01-14,49.096882,50.883064,48.799206,50.564083,15.593236,3127151
1997-01-15,50.776768,51.010647,49.118172,49.309566,15.206360,2413593
1997-01-16,49.373360,49.649742,48.267635,48.905579,15.081779,3065834
1997-01-17,49.033176,50.372707,48.969379,49.798626,15.357181,2933582
